BEETHOVEN Fidelio: O welche Lust (Chorus of Prisoners) (8.660070-71),['Fidelio)']
"BEETHOVEN Minuet in G major, WoO 10, No. 6 (8.550646)","['Heaven and Earth (1990)', 'Music Man (The) (1962)', 'Paradise Road (1997))']"
"BEETHOVEN Missa Solemnis, Op. 123: Kyrie eleison (8.557060)",['Immortal Beloved (1994))']
"BEETHOVEN Piano Concerto No. 1 in C major, Op. 15 (8.550190)",['Wild Card (2015))']
"BEETHOVEN Piano Concerto No. 1 in C major, Op. 15: II. Largo (8.550190)",['Equals (2015))']
"BEETHOVEN Piano Concerto No. 3 in C minor, Op. 37 (8.550122)","['Into the Arms of Strangers (2007)', 'Pianist (The) (2002))']"
"BEETHOVEN Piano Concerto No. 3 in C minor, Op. 37: I. Allegro con brio (8.550122)",['Equals (2015))']
"BEETHOVEN Piano Concerto No. 4 in G major, Op. 58: III. Rondo (8.550122)",['Equals (2015))']
"BEETHOVEN Piano Concerto No. 5 in E-flat major, Op. 73, ""Emperor"" (8.550121)","['Elysium (2013)', 'Crime of Padre Armano  Elysium (2013)', 'Immortal Beloved (1994))']"
"BEETHOVEN Piano Concerto No. 5 in E-flat major, Op. 73, ""Emperor"": II. Adagio un poco mosso (8.550121)","['Dead Poets Society  Down River (2013)', 'Goldfinch (The) (2019)', 'Invincible (2001)', ""King's Speech (The) (2010)"", 'Liberal Arts (2012)', 'No Letting Go (2015)', 'Picnic at Hanging Rock (1975)', 'Tomorrow Never Dies (1997))']"
"BEETHOVEN Piano Concerto No. 5 in E-flat major, Op. 73, ""Emperor"": III. Rondo (8.550121)",['Fearless (1993))']
"BEETHOVEN Piano Quintet in E-flat major, Op. 16: III. Andante cantabile (8.550511)",['Talented Mr Ripley (The) (1999))']
BEETHOVEN Piano Sonata No. 1 in F minor (8.550150),['Traffic (2000))']
BEETHOVEN Piano Sonata No. 1 in F minor: II. Adagio (8.550150),"[""Zookeeper's Wife (The) (2017))""]"
"BEETHOVEN Piano Sonata No. 3 in C major, Op. 2, No. 3: II. Adagio (8.550150)",['Byzantium (2012))']
"BEETHOVEN Piano Sonata No. 8 in C minor, Op. 13, ""Pathetique"" (8.550045)","['Elysium (2013)', ""Man Who Wasn't There (The) (2001)"", ""Romy and Michele's High School Reunion (1997))""]"
"BEETHOVEN Piano Sonata No. 8 in C minor, Op. 13, ""Pathetique"": I. Grave (8.550045)","['Gaslight (1944)', 'Immortal Beloved (1994)', 'Star Trek: Insurrection (1998))']"
