COMPOSER composition title,composer(abbrev),composition
"BIZET Carmen: L'amour est un oiseau rebelle, ""Habanera"" (8.660005-07)",BIZET,"Carmen: L'amour est un oiseau rebelle, ""Habanera"""
"DVORAK Serenade for Strings in E major, Op. 22: IV. Larghetto (8.550419)",DVORAK,"Serenade for Strings in E major, Op. 22: IV. Larghetto"
BIZET Carmen: La fleur que tu m'avais jetee (8.550727),BIZET,Carmen: La fleur que tu m'avais jetee
"CHOPIN Waltz No. 7 in C-sharp minor, Op. 64, No. 2 (8.554539)",CHOPIN,"Waltz No. 7 in C-sharp minor, Op. 64, No. 2"
GERSHWIN An American in Paris (8.550295),GERSHWIN,An American in Paris
PUCCINI Gianni Schicchi: O mio babbino caro (8.660111),PUCCINI,Gianni Schicchi: O mio babbino caro
"MOZART Divertimento No. 15 in B-flat major, K. 287, ""Lodron Night Music No. 2"": III. Menuetto (8.550996)",MOZART,"Divertimento No. 15 in B-flat major, K. 287, ""Lodron Night Music No. 2"": III. Menuetto"
"MOZART Piano Concerto No. 25 in C major, K. 503: II. Andante (8.550207)",MOZART,"Piano Concerto No. 25 in C major, K. 503: II. Andante"
MUSSORGSKY Pictures at an Exhibition: I. Gnomus (8.550051),MUSSORGSKY,Pictures at an Exhibition: I. Gnomus
"MUSSORGSKY Pictures at an Exhibition: IX. The Hut on Fowls' Legs, ""Baba Yaga"" (8.550051)",MUSSORGSKY,"Pictures at an Exhibition: IX. The Hut on Fowls' Legs, ""Baba Yaga"""
"MUSSORGSKY St. John's Night on Bald Mountain, ""A Night on the Bare Mountain"" (8.550051)",MUSSORGSKY,"St. John's Night on Bald Mountain, ""A Night on the Bare Mountain"""
SATIE 3 Gymnopedies: Gymnopedie No. 1 (8.550305),SATIE,3 Gymnopedies: Gymnopedie No. 1
"RIMSKY-KORSAKOV Sadko, Op. 5: Hindu Song (8.550125)",RIMSKY-KORSAKOV,"Sadko, Op. 5: Hindu Song"
CATALANI La Wally: Ebben Ne andro lontana (8.550606),CATALANI,La Wally: Ebben Ne andro lontana
"SAINT-SAENS Introduction and Rondo capriccioso in A minor, Op. 28 (8.553277)",SAINT-SAENS,"Introduction and Rondo capriccioso in A minor, Op. 28"
"SCHUBERT 6 Moments Musicaux, Op. 94, D. 780: II. Andantino (8.550259)",SCHUBERT,"6 Moments Musicaux, Op. 94, D. 780: II. Andantino"
"BEETHOVEN Symphony No. 5 in C minor, Op. 67: I. Allegro con brio (8.553476)",BEETHOVEN,"Symphony No. 5 in C minor, Op. 67: I. Allegro con brio"
"JS BACH Cello Suite No. 4 in E-flat major, BWV 1010: IV. Sarabande (8.557280-81)",JS BACH,"Cello Suite No. 4 in E-flat major, BWV 1010: IV. Sarabande"
"CHOPIN Prelude No. 2 in A minor, Op. 28, No. 2 (8.554536)",CHOPIN,"Prelude No. 2 in A minor, Op. 28, No. 2"
"HANDEL Recorder Sonata in F major Op. 1, No. 11, HWV 369 (8.550700)",HANDEL,"Recorder Sonata in F major Op. 1, No. 11, HWV 369"
"R SCHUMANN 8 Fantasiestucke, Op. 12: No. 2. Aufschwung (8.550493)",R SCHUMANN,"8 Fantasiestucke, Op. 12: No. 2. Aufschwung"
"R SCHUMANN Piano Concerto in A minor, Op. 54: III. Allegro vivace (8.550118)",R SCHUMANN,"Piano Concerto in A minor, Op. 54: III. Allegro vivace"
DUKE I Can't Get Started (8.120661),DUKE,I Can't Get Started
"PROKOFIEV Cinderella, Op. 87 (Via Classic 3700403528336)",PROKOFIEV,"Cinderella, Op. 87"
PART Berliner Messe (8.557299),PART,Berliner Messe
SALIERI Piano Concerto in C major: II. Larghetto (Teldec 825646985517),SALIERI,Piano Concerto in C major: II. Larghetto
"SCHUBERT Auf dem Wasser zu singen, D. 774 (8.557568)",SCHUBERT,"Auf dem Wasser zu singen, D. 774"
"JS BACH Toccata and Fugue in D Minor, BWV 565 (arr. L. Stokowski for orchestra) (8.572050)",JS BACH,"Toccata and Fugue in D Minor, BWV 565"
"MOZART Sinfonia Concertante in E-flat major, K. 297b (8.550159)",MOZART,"Sinfonia Concertante in E-flat major, K. 297b"
PUCCINI La boheme: O soave fanciulla (8.553151),PUCCINI,La boheme: O soave fanciulla
"BIZET Carmen: Votre toast, je peux vous le rendre (8.660005-07)",BIZET,"Carmen: Votre toast, je peux vous le rendre"
DELIBES Sylvia: Pizzicato (8.550080),DELIBES,Sylvia: Pizzicato
"FAURE Cantique de Jean Racine, Op. 11 (8.550765)",FAURE,"Cantique de Jean Racine, Op. 11"
"GRIEG Lyric Pieces, Book 4, Op. 47: Springdans (8.553394)",GRIEG,"Lyric Pieces, Book 4, Op. 47: Springdans"
SAINT-SAENS Carnival of the Animals: III. Wild Asses (8.550335),SAINT-SAENS,Carnival of the Animals: III. Wild Asses
"SAINT-SAENS Symphony No. 3 in C minor, Op. 78, ""Organ"": II. Maestoso - Allegro - Piu allegro - Molto allegro - Pesante (8.550138)",SAINT-SAENS,"Symphony No. 3 in C minor, Op. 78, ""Organ"": II. Maestoso - Allegro - Piu allegro - Molto allegro - Pesante"
ROSSINI Il Barbiere di Siviglia (The Barber of Seville): Largo al factotum della citta (8.660027-29),ROSSINI,Il Barbiere di Siviglia
"VERDI Il Trovatore: Vedi, le fosche notturne, ""Anvil Chorus"" (8.660023-24)",VERDI,"Il Trovatore: Vedi, le fosche notturne, ""Anvil Chorus"""
"MOZART Don Giovanni, K. 527: La ci darem la mano (8.660080-82)",MOZART,"Don Giovanni, K. 527: La ci darem la mano"
