COMPOSER composition title,composer(abbrev),composition
"HANDEL Water Music: Suite No. 3 in G major, HWV 350: III. Menuet I and II (8.557764)",HANDEL,"Water Music: Suite No. 3 in G major, HWV 350: III. Menuet I and II"
PALSCHAU Harpsichord Concerto in C major: II. Andante (Dacapo 8.226040),PALSCHAU,Harpsichord Concerto in C major: II. Andante
SCHEIBE Sinfonia a 4 in B-flat major: I. Allegro assai (Chandos CHAN0696),SCHEIBE,Sinfonia a 4 in B-flat major: I. Allegro assai
VIVALDI  Trio Sonata in B-flat major: III. Allegro (Harmonia Mundi HMG501366),VIVALDI,Trio Sonata in B-flat major: III. Allegro
"PURCELL The Gordion Knot Unty'd, Z. 597 (8.570149)",PURCELL,"The Gordion Knot Unty'd, Z. 597"
"PURCELL Trumpet Sonata in D major, Z. 850 (8.553444)",PURCELL,"Trumpet Sonata in D major, Z. 850"
"MENDELSSOHN The Hebrides, Op. 26, ""Fingal's Cave"" (8.556660)",MENDELSSOHN,"The Hebrides, Op. 26, ""Fingal's Cave"""
"BERLIOZ Les nuits d'ete (The Nights of Summer), Op. 7: Le spectre de la rose (The Spectre of the Rose) (8.557274)",BERLIOZ,Les nuits d'ete
"BERLIOZ Les nuits d'ete (The Nights of Summer), Op. 7: Villanelle (8.557274)",BERLIOZ,Les nuits d'ete
MASSENET Thais: Ah! je suis fatiguee a mourir! (Dynamic CDS427),MASSENET,Thais: Ah! je suis fatiguee a mourir!
"MOZART Le Nozze di Figaro (The Marriage of Figaro), K. 492: L'ho perduta... me meschina... (8.660102-04)",MOZART,Le Nozze di Figaro
"MOZART Missa solemnis in C minor, K. 139, ""Waisenhausmesse"" (Orphanage): Sanctus (Capriccio C10169)",MOZART,"Missa solemnis in C minor, K. 139, ""Waisenhausmesse"""
"MOZART  Vesperae solennes de confessore in C major, K. 339, ""Solemn Vespers"": IV. Laudate Dominum (8.550495)",MOZART,"Vesperae solennes de confessore in C major, K. 339, ""Solemn Vespers"": IV. Laudate Dominum"
"R SCHUMANN Waldscenen (Woodland Scenes), Op. 82: No. 3 Einsame Blumen (Lonely Flowers) (8.550401)",R SCHUMANN,Waldscenen
WAGNER Siegfried Idyll (8.550498),WAGNER,Siegfried Idyll
"CHOPIN Etude No. 3 in E major, Op. 10, No. 3 (8.554528)",CHOPIN,"Etude No. 3 in E major, Op. 10, No. 3"
VERDI La Traviata: Si ridesta in ciel l'aurora (8.660011-12),VERDI,La Traviata: Si ridesta in ciel l'aurora
"CHOPIN Piano Concerto No. 1 in E minor, Op. 11 (8.554540)",CHOPIN,"Piano Concerto No. 1 in E minor, Op. 11"
"CHOPIN Etude No. 12 in C minor, Op. 10, No. 12, ""Revolutionary"" (8.554528)",CHOPIN,"Etude No. 12 in C minor, Op. 10, No. 12, ""Revolutionary"""
"CHOPIN Etude No. 3 in E Major, Op. 10, No. 3 (8.554528)",CHOPIN,"Etude No. 3 in E Major, Op. 10, No. 3"
"JS BACH Goldberg Variations, BWV 988 (8.550078)",JS BACH,"Goldberg Variations, BWV 988"
"DVORAK String Quartet No. 12 in F major, Op. 96, B. 179, ""American"" (8.553371)",DVORAK,"String Quartet No. 12 in F major, Op. 96, B. 179, ""American"""
"PURCELL Dido and Aeneas, Z. 626 : When I am laid in earth (8.553108)",PURCELL,"Dido and Aeneas, Z. 626 : When I am laid in earth"
"JS BACH Cello Suite No. 4 in E-flat major, BWV 1010: I. Prelude (8.557280-81)",JS BACH,"Cello Suite No. 4 in E-flat major, BWV 1010: I. Prelude"
"JS BACH Cello Suite No. 4 in E-flat major, BWV 1010: II. Allemande (8.557280-81)",JS BACH,"Cello Suite No. 4 in E-flat major, BWV 1010: II. Allemande"
"HAYDN String Quartet No. 23 in F minor, Op. 20, No. 5, Hob.III:35: III. Adagio (8.550702)",HAYDN,"String Quartet No. 23 in F minor, Op. 20, No. 5, Hob.III:35: III. Adagio"
"KORNGOLD Die tote Stadt (The Dead City), Op. 12: Marietta's Lied (8.660060-61)",KORNGOLD,Die tote Stadt
"SHOSTAKOVICH Symphony No. 10 in E minor, Op. 93: II. Allegro (8.550633)",SHOSTAKOVICH,"Symphony No. 10 in E minor, Op. 93: II. Allegro"
"CHOPIN Nocturne No. 9 in B major, Op. 32, No. 1 (8.554531)",CHOPIN,"Nocturne No. 9 in B major, Op. 32, No. 1"
BARRY Out of Africa: Main title theme (8.570505),BARRY,Out of Africa: Main title theme
"MENDELSSOHN Piano Trio No. 1 in D minor, Op. 49 (8.555063)",MENDELSSOHN,"Piano Trio No. 1 in D minor, Op. 49"
"MOZART 12 Variations on Ah, vous dirai-je, maman, K. 265 (8.550258)",MOZART,"12 Variations on Ah, vous dirai-je, maman, K. 265"
"MOZART Piano Sonata No. 16 in C major, K. 545 (8.550446)",MOZART,"Piano Sonata No. 16 in C major, K. 545"
"MOZART Rondo in C major, K. 373 (8.550418)",MOZART,"Rondo in C major, K. 373"
"R SCHUMANN Piano Concerto in A minor, Op. 54 (8.550118)",R SCHUMANN,"Piano Concerto in A minor, Op. 54"
JOPLIN Peacherine Rag (8.559277),JOPLIN,Peacherine Rag
MONTEVERDI Zefiro torna e 'l bel tempo rimena (Zephyr returns and with him fair weather) (8.555312-13),MONTEVERDI,Zefiro torna e 'l bel tempo rimena
"VIVALDI Concerto for 4 Violins in B minor, Op. 3, No. 10, RV 580: I. Allegro (8.550160)",VIVALDI,"Concerto for 4 Violins in B minor, Op. 3, No. 10, RV 580: I. Allegro"
"VIVALDI Giustino, RV 717: Vedro con mio diletto (Tactus TC672214)",VIVALDI,"Giustino, RV 717: Vedro con mio diletto"
"PUCCINI Turandot: Tu, che di gel sei cinta (8.660089-90)",PUCCINI,"Turandot: Tu, che di gel sei cinta"
"MOZART Divertimento in F major, K. 522, ""Ein musikalischer Spass"" (""A Musical Joke""): I. Allegro (8.550437)",MOZART,"Divertimento in F major, K. 522, ""Ein musikalischer Spass"""
"JS BACH Keyboard Concerto in D Minor, BWV 974 (arr of A. Marcello's Oboe Concerto) (8.572006-07)",JS BACH,"Keyboard Concerto in D Minor, BWV 974"
"JS BACH Musical Offering, BWV 1079: Ricercar (8.553286)",JS BACH,"Musical Offering, BWV 1079: Ricercar"
"JS BACH Prelude in E - Flat Minor, BWV 853 (8.553097)",JS BACH,"Prelude in E - Flat Minor, BWV 853"
"BEETHOVEN Piano Sonata No. 21 in C Major, Op. 53, ""Waldstein"" (8.550054)",BEETHOVEN,"Piano Sonata No. 21 in C Major, Op. 53, ""Waldstein"""
"BEETHOVEN Piano Sonata No. 23 in F minor, Op. 57, ""Appassionata"": I. Allegro assai (8.550045)",BEETHOVEN,"Piano Sonata No. 23 in F minor, Op. 57, ""Appassionata"": I. Allegro assai"
"BEETHOVEN Piano Sonata No. 30 in E major, Op. 109 (8.550151)",BEETHOVEN,"Piano Sonata No. 30 in E major, Op. 109"
"BEETHOVEN Piano Sonata No. 32 in C Minor, Op. 111 (8.550151)",BEETHOVEN,"Piano Sonata No. 32 in C Minor, Op. 111"
"CHOPIN Ballade No. 2 in F Major, Op. 38 (8.550084)",CHOPIN,"Ballade No. 2 in F Major, Op. 38"
"CHOPIN Ballade No. 4 in F Minor, Op. 52 (8.550084)",CHOPIN,"Ballade No. 4 in F Minor, Op. 52"
"HOLST The Planets, Op. 32: V. Saturn, the Bringer of Old Age (8.555776)",HOLST,"The Planets, Op. 32: V. Saturn, the Bringer of Old Age"
"LISZT Harmonies Poetiques et Religieuses, S173/R14 (excerpts): VII. Funerailles (8.553516)",LISZT,"Harmonies Poetiques et Religieuses, S173/R14"
"RACHMANINOV Preludes, Op. 23: No. 1 in F - Sharp Minor: Largo (8.550348)",RACHMANINOV,"Preludes, Op. 23: No. 1 in F - Sharp Minor: Largo"
"D SCARLATTI Keyboard Sonata in B Minor, K.87/L.33/P.43 (8.550252)",D SCARLATTI,"Keyboard Sonata in B Minor, K.87/L.33/P.43"
"SCRIABIN Piano Sonata No. 5, Op. 53 (8.553158)",SCRIABIN,"Piano Sonata No. 5, Op. 53"
"SCHUBERT Winterreise, Op. 89, D. 911: No. 1. Gute Nacht (8.554471)",SCHUBERT,"Winterreise, Op. 89, D. 911: No. 1. Gute Nacht"
"R SCHUMANN Kinderszenen (Scenes of childhood), Op. 15: X. Fast zu ernst (Almost Too Serious) (8.550784)",R SCHUMANN,Kinderszenen
SMETANA Ma vlast (My Fatherland): No. 2. Vltava (Moldau) (arr. V. Popelka for choir and piano) (ArcoDiva UP0197),SMETANA,Ma vlast
"BEETHOVEN Egmont Egmont, Op. 84: Overture (8.557264)",BEETHOVEN Egmont,"Egmont, Op. 84: Overture"
GOUNOD Faust: O nuit d'amour!... ciel radieux! (8.111083-85),GOUNOD,Faust: O nuit d'amour!... ciel radieux!
"MOZART String Quintet No. 1 in B-flat major, K. 174: I. Allegro Moderato (8.553103)",MOZART,"String Quintet No. 1 in B-flat major, K. 174: I. Allegro Moderato"
"MOZART String Quintet No. 1 in B-flat major, K. 174: III. Menuetto ma Allegro (8.553103)",MOZART,"String Quintet No. 1 in B-flat major, K. 174: III. Menuetto ma Allegro"
BRAHMS Liebeslieder Waltzes Op. 52 (Profil 881488702255),BRAHMS,Liebeslieder Waltzes Op. 52
"MOZART String Quartet No. 21 in D major, K. 575, ""Prussian No. 1"" (8.550545)",MOZART,"String Quartet No. 21 in D major, K. 575, ""Prussian No. 1"""
"RACHMANINOV All-Night Vigil, Op. 37, ""Vespers"": Blessed is the Man (8.555908)",RACHMANINOV,"All-Night Vigil, Op. 37, ""Vespers"": Blessed is the Man"
"RACHMANINOV All-Night Vigil, Op. 37, ""Vespers"": Hymn of Thanksgiving to the Mother of God (8.555908)",RACHMANINOV,"All-Night Vigil, Op. 37, ""Vespers"": Hymn of Thanksgiving to the Mother of God"
"SCHUBERT Piano Sonata No. 20 in A major, D. 959: II. Andantino (8.554470)",SCHUBERT,"Piano Sonata No. 20 in A major, D. 959: II. Andantino"
DONIZETTI Maria Redowa (Sony Classical 074646692226),DONIZETTI,Maria Redowa
"CHOPIN Nocturne No. 5 in F-sharp major, Op. 15, No. 2 (8.554531)",CHOPIN,"Nocturne No. 5 in F-sharp major, Op. 15, No. 2"
"DVORAK String Quartet No. 12 in F major, Op. 96, B. 179, ""American"": III. Molto vivace (8.553371)",DVORAK,"String Quartet No. 12 in F major, Op. 96, B. 179, ""American"": III. Molto vivace"
"GOTTSCHALK L'etincelle, La scintilla, Op. 20 (8.559145)",GOTTSCHALK,"L'etincelle, La scintilla, Op. 20"
"SCHUBERT 5 German Dances and 7 Trios with Coda, D. 90: No. 5 in C major (Capriccio C10526)",SCHUBERT,"5 German Dances and 7 Trios with Coda, D. 90: No. 5 in C major"
"SCHUBERT Polonaise in B-flat major, D. 580 (Vox CD3X-3042)",SCHUBERT,"Polonaise in B-flat major, D. 580"
"SCHUBERT String Quartet No. 8 in B-flat major, Op. 168, D. 112: III. Menuetto: Allegro (8.555921)",SCHUBERT,"String Quartet No. 8 in B-flat major, Op. 168, D. 112: III. Menuetto: Allegro"
"R SCHUMANN Papillons, Op. 2: X. Vivo (8.573399)",R SCHUMANN,"Papillons, Op. 2: X. Vivo"
"J STRAUSS II Mephisto's Hollenrufe (Walzer), Op. 101 (8.550339)",J STRAUSS II,Mephisto's Hollenrufe
"TRADITIONAL Amazing Grace (John Newton, lyricist) (Delos DE3203)",TRADITIONAL,Amazing Grace
"GRIEG Melodies of the Heart, Op. 5: No. 3 I Love but Thee (8.552123-24)",GRIEG,"Melodies of the Heart, Op. 5: No. 3 I Love but Thee"
IVES The Unanswered Question (8.559087),IVES,The Unanswered Question
"JS BACH Prelude No. 12 in F Minor, BWV 881 (8.550970-71)",JS BACH,"Prelude No. 12 in F Minor, BWV 881"
SATIE Gnossienne 1 (8.550305),SATIE,Gnossienne 1
VERDI Aida: Se quel guerrier io fossi! (8.660033-34),VERDI,Aida: Se quel guerrier io fossi!
"ELGAR The Dream of Gerontius, Op. 38 (8.553885-86)",ELGAR,"The Dream of Gerontius, Op. 38"
"BARBER Agnus Dei, Op. 11 (8.559053)",BARBER,"Agnus Dei, Op. 11"
BELLINI Norma: Prelude to Act II (8.110325-27),BELLINI,Norma: Prelude to Act II
DONIZETTI L'elisir d'amore: Una furtiva lagrima (8.660045-46),DONIZETTI,L'elisir d'amore: Una furtiva lagrima
"ELGAR Cello Concerto in E minor, Op. 85: II. Lento - Allegro molto (8.550503)",ELGAR,"Cello Concerto in E minor, Op. 85: II. Lento - Allegro molto"
"MOZART Ave verum corpus in D major, K. 618 (8.550495)",MOZART,"Ave verum corpus in D major, K. 618"
VERDI Messa da Requiem: Agnus Dei (8.550944-45),VERDI,Messa da Requiem: Agnus Dei
"JS BACH Violin Concerto in E major, BWV 1042 (8.550194)",JS BACH,"Violin Concerto in E major, BWV 1042"
"BEETHOVEN Piano Sonata No. 30 in E major, Op. 109: III. Gesangvoll, mit innigster Empfindung: Andante molto cantabile ed espressivo (8.571268)",BEETHOVEN,"Piano Sonata No. 30 in E major, Op. 109: III. Gesangvoll, mit innigster Empfindung: Andante molto cantabile ed espressivo"
CHERUBINI Requiem No. 1 in C minor (8.554749),CHERUBINI,Requiem No. 1 in C minor
"MOZART Cosi fan tutte, K. 588: Eccovi il medico (8.660008-10)",MOZART,"Cosi fan tutte, K. 588: Eccovi il medico"
RAVEL Daphnis et Chloe Suite No. 2 (8.550424),RAVEL,Daphnis et Chloe Suite No. 2
STRAVINSKY Le sacre du printemps (The Rite of Spring) (1913 version): Part I (Adoration of the Earth): The Augurs of Spring / Dances of the Young Girls (8.557501),STRAVINSKY,Le sacre du printemps
ENO Always Returning (Cantaloupe Music CA-21071),ENO,Always Returning
"PROKOFIEV Lieutenant Kije Suite, Op. 60: IV. Troika (8.554057)",PROKOFIEV,"Lieutenant Kije Suite, Op. 60: IV. Troika"
"PROKOFIEV The Love for 3 Oranges Suite, Op. 33bis: III. March (8.550381)",PROKOFIEV,"The Love for 3 Oranges Suite, Op. 33bis: III. March"
"BEETHOVEN Piano Sonata No. 28 in A major, Op. 101 (8.571258)",BEETHOVEN,"Piano Sonata No. 28 in A major, Op. 101"
"CHOPIN Ballade No. 3 in A-flat major, Op. 47 (8.550508)",CHOPIN,"Ballade No. 3 in A-flat major, Op. 47"
"CHOPIN Berceuse in D-flat major, Op. 57 (8.550508)",CHOPIN,"Berceuse in D-flat major, Op. 57"
PITONI Cantate Domino (Dux 5902547006178),PITONI,Cantate Domino
SCHNITTKE Suite im alten Stil (Suite in the Old Style): III. Minuet (Ondine ODE800-2),SCHNITTKE,Suite im alten Stil
"WIENIAWSKI Legende, Op. 17 (8.550744)",WIENIAWSKI,"Legende, Op. 17"
"BRAHMS A German Requiem, Op. 45 (8.550213)",BRAHMS,"A German Requiem, Op. 45"
"JS BACH Harpsichord Concerto in D major, BWV 1054 (8.550422)",JS BACH,"Harpsichord Concerto in D major, BWV 1054"
"MOZART Piano Sonata No. 12 in F major, K. 332: I. Allegro (8.550446)",MOZART,"Piano Sonata No. 12 in F major, K. 332: I. Allegro"
CHOPIN 3 Nouvelles Etudes: I. Etude No. 25 in F minor (8.554527),CHOPIN,3 Nouvelles Etudes: I. Etude No. 25 in F minor
"CHOPIN Mazurka No. 36 in A minor, Op. 59, No. 1 (8.554530)",CHOPIN,"Mazurka No. 36 in A minor, Op. 59, No. 1"
"MOZART Requiem in D minor, K. 626: Kyrie eleison (8.550235)",MOZART,"Requiem in D minor, K. 626: Kyrie eleison"
"R SCHUMANN Kinderszenen (Scenes of childhood), Op. 15 (8.550784)",R SCHUMANN,Kinderszenen
JS BACH Ave Maria (8.553751),JS BACH,Ave Maria
GOUNOD Ave Maria (8.553751),GOUNOD,Ave Maria
"HAYDN String Quartet No. 1 in B-flat major, Op. 1, No. 1, Hob.III:1 (8.550398)",HAYDN,"String Quartet No. 1 in B-flat major, Op. 1, No. 1, Hob.III:1"
"MOZART Don Giovanni, K. 527: Ah fuggi il traditor (8.660080-82)",MOZART,"Don Giovanni, K. 527: Ah fuggi il traditor"
"BRUCH Violin Concerto No. 1 in G Minor, Op. 26 (8.550195)",BRUCH,"Violin Concerto No. 1 in G Minor, Op. 26"
"CIURLIONIS Prelude in F - Sharp Major, VL 184, ""Angelus Domini"" (8.572659)",CIURLIONIS,"Prelude in F - Sharp Major, VL 184, ""Angelus Domini"""
GERSHWIN 3 Preludes (arr. F. Villard for clarinet and strings) (8.570939),GERSHWIN,3 Preludes
GERSHWIN The Man I Love (8.990031),GERSHWIN,The Man I Love
"BEETHOVEN Violin Concerto in D major, Op. 61 (8.550149)",BEETHOVEN,"Violin Concerto in D major, Op. 61"
"PAGANINI 24 Caprices, Op. 1: No. 20 in D major (8.550717)",PAGANINI,"24 Caprices, Op. 1: No. 20 in D major"
PAGANINI Violin Concertos Nos. 1 & 2 (8.550649),PAGANINI,Violin Concertos Nos. 1 & 2
BIZET Carmen: Prelude (8.660005-07),BIZET,Carmen: Prelude
SMETANA The Bartered Bride (Prodana nevesta): Overture (8.110098-99),SMETANA,The Bartered Bride
"JS BACH Mass in B minor, BWV 232: Et resurrexit (8.550585-86)",JS BACH,"Mass in B minor, BWV 232: Et resurrexit"
"HOLST The Planets, Op. 32: II. Venus (8.555776)",HOLST,"The Planets, Op. 32: II. Venus"
"BEETHOVEN Piano Sonata No. 23 in F minor, Op. 57, ""Appassionata"" (8.550045)",BEETHOVEN,"Piano Sonata No. 23 in F minor, Op. 57, ""Appassionata"""
"BEETHOVEN Piano Sonata No. 25 in G Major, Op. 79 (8.550161)",BEETHOVEN,"Piano Sonata No. 25 in G Major, Op. 79"
"BEETHOVEN Piano Trio in B-flat major, Op. 97, ""Archduke"" (8.550442)",BEETHOVEN,"Piano Trio in B-flat major, Op. 97, ""Archduke"""
"MOZART Le Nozze di Figaro (The Marriage of Figaro), K. 492: Che soave zeffiretto (8.660102-04)",MOZART,Le Nozze di Figaro
MASSENET Cherubin (Dynamic CDS508),MASSENET,Cherubin
BRITTEN Noye's Fludde: The spacious firmament on high (Erato 0094635924855),BRITTEN,Noye's Fludde: The spacious firmament on high
WAGNER Tristan und Isolde: Prelude to Act III (8.660152-54),WAGNER,Tristan und Isolde: Prelude to Act III
"MASSENET Herodiade: Dors, o cite perverse! (Newton Classics NC8802202)",MASSENET,"Herodiade: Dors, o cite perverse!"
"SCHUBERT Die schone Mullerin, Op. 25, D. 795: No. 6. Der Neugierige (8.554664)",SCHUBERT,"Die schone Mullerin, Op. 25, D. 795: No. 6. Der Neugierige"
"JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 4 in C-sharp minor, BWV 849 (8.553796-97)",JS BACH,"The Well-Tempered Clavier Book I: Prelude and Fugue No. 4 in C-sharp minor, BWV 849"
"JS BACH The Well-Tempered Clavier Book II: Prelude and Fugue No. 9 in E major, BWV 878 (8.550970-71)",JS BACH,"The Well-Tempered Clavier Book II: Prelude and Fugue No. 9 in E major, BWV 878"
LEONCAVALLO I Pagliacci (8.660021),LEONCAVALLO,I Pagliacci
"MOZART Die Zauberflote (The Magic Flute), K. 620 (8.660030-31)",MOZART,Die Zauberflote
VERDI La Traviata (8.660011-12),VERDI,La Traviata
WAGNER Die Walkure (8.660172-74),WAGNER,Die Walkure
COUPERIN Les barricades mysterieuses (none),COUPERIN,Les barricades mysterieuses
RAMEAU Castor et Pollux: Tristes apprets (8.660118-19),RAMEAU,Castor et Pollux: Tristes apprets
RAMEAU Platee: Aux lagueurs d'Apollon (none),RAMEAU,Platee: Aux lagueurs d'Apollon
RAMEAU Indes galantes (Les): Menuets I-II pour les Guerriers et Amazones (Ambroisie 822186001523),RAMEAU,Indes galantes
CAPUA O sole mio (Marco Polo 8.223586),CAPUA,O sole mio
VIVALDI The 4 Seasons (8.550056),VIVALDI,The 4 Seasons
"BOCCHERINI String Quintet in C major, Op. 30, No. 6, G. 324, ""La musica notturna delle strade di Madrid"": V. Ritirata con variazioni (Capriccio C10453)",BOCCHERINI,"String Quintet in C major, Op. 30, No. 6, G. 324, ""La musica notturna delle strade di Madrid"": V. Ritirata con variazioni"
"CORELLI Concerto Grosso in G Minor, Op. 6, No. 8, ""Christmas Concerto"": III. Adagio-Allegro-Adagio (8.550403)",CORELLI,"Concerto Grosso in G Minor, Op. 6, No. 8, ""Christmas Concerto"": III. Adagio-Allegro-Adagio"
"MOZART Violin Concerto No. 3 in G major, K. 216: III. Rondeau (8.550418)",MOZART,"Violin Concerto No. 3 in G major, K. 216: III. Rondeau"
VAUGHAN WILLIAMS Fantasia on a Theme by Thomas Tallis (8.555867),VAUGHAN WILLIAMS,Fantasia on a Theme by Thomas Tallis
"JS BACH Overture (Suite) No. 3 in D major, BWV 1068: IV. Bourree (8.554609)",JS BACH,Overture
"TCHAIKOVSKY Symphony No. 6 in B minor, Op. 74, ""Pathetique"": III. Allegro molto vivace (8.550782)",TCHAIKOVSKY,"Symphony No. 6 in B minor, Op. 74, ""Pathetique"": III. Allegro molto vivace"
"VIVALDI Bassoon Concerto in D minor, RV 481 (8.557829)",VIVALDI,"Bassoon Concerto in D minor, RV 481"
"JS BACH Mass in B minor, BWV 232 (8.550585-86)",JS BACH,"Mass in B minor, BWV 232"
HERRMANN Vertigo: Prelude - The Nightmare - Scene d'Amour (Decca 00028943679725),HERRMANN,Vertigo: Prelude - The Nightmare - Scene d'Amour
"VIVALDI Jubilate, o amoeni chori, RV 639 (8.557445)",VIVALDI,"Jubilate, o amoeni chori, RV 639"
"MOZART Oboe Concerto in C major, K. 271k / K. 314 (8.550345)",MOZART,"Oboe Concerto in C major, K. 271k / K. 314"
"R SCHUMANN Myrthen, Op. 25: No. 24. Du bist wie eine Blume (8.557079)",R SCHUMANN,"Myrthen, Op. 25: No. 24. Du bist wie eine Blume"
WAGNER Tannhauser: Pilgrims' Chorus (8.551171),WAGNER,Tannhauser: Pilgrims' Chorus
"GLASS String Quartet No. 2, ""Company"" (8.559636)",GLASS,"String Quartet No. 2, ""Company"""
PART Festina Lente for Strings and Harp Ad Libitum (8.553750),PART,Festina Lente for Strings and Harp Ad Libitum
PART Fur Alina (8.572525),PART,Fur Alina
PART Pari intervallo (version for organ) (Brilliant Classics BC94960),PART,Pari intervallo
PART Silouans Song (Erato 825646080700),PART,Silouans Song
MENDELSSOHN A Midsummer Night's Dream: Intermezzo and Scherzo (8.554433),MENDELSSOHN,A Midsummer Night's Dream: Intermezzo and Scherzo
"MENDELSSOHN Piano Concerto No. 2 in D minor, Op. 40: II. Adagio - Molto sostenuto (8.550681)",MENDELSSOHN,"Piano Concerto No. 2 in D minor, Op. 40: II. Adagio - Molto sostenuto"
DONIZETTI L'elisir d'amore: Una furtiva lagrima (8.660045-46),DONIZETI,L'elisir d'amore: Una furtiva lagrima
"MENDELSSOHN A Midsummer Night's Dream: Notturno, Op. 61, No. 3 (8.554433)",MENDELSSOHN,"A Midsummer Night's Dream: Notturno, Op. 61, No. 3"
"MENDELSSOHN A Midsummer Night's Dream: Overture, Op. 21 (8.554433)",MENDELSSOHN,"A Midsummer Night's Dream: Overture, Op. 21"
ROSSINI La cenerentola (Cinderella): Non piu mesta variations (8.555976),ROSSINI,La cenerentola
"MASSENET Orchestral Suite No. 6, ""Scenes de feerie"" (8.553125)",MASSENET,"Orchestral Suite No. 6, ""Scenes de feerie"""
"MOZART Divertimento No. 10 in F major, K. 247, ""Lodron Night Music No. 1"" (8.550026)",MOZART,"Divertimento No. 10 in F major, K. 247, ""Lodron Night Music No. 1"""
"MOZART Le Nozze di Figaro (The Marriage of Figaro), K. 492: Excerpts (8.660102-04)",MOZART,Le Nozze di Figaro
"MOZART Serenade No. 10 in B-flat major, K. 361, ""Gran Partita"" (8.550060)",MOZART,"Serenade No. 10 in B-flat major, K. 361, ""Gran Partita"""
